customer_id,country
1,FR
2,ES
3,DE
4,PT
5,PT
6,PT
7,FR
8,PT
9,ES
10,PT
11,PT
12,DE
13,DE
14,PT
15,ES
16,PT
17,DE
18,PT
19,PT
20,ES
21,PT
22,DE
23,PT
24,ES
25,PT
26,ES
27,FR
28,DE
29,ES
30,PT
31,FR
32,ES
33,PT
34,ES
35,FR
36,PT
37,PT
38,PT
39,ES
40,DE
41,DE
42,FR
43,DE
44,DE
45,FR
46,FR
47,ES
48,ES
49,ES
50,PT
51,FR
52,DE
53,FR
54,DE
55,FR
56,PT
57,PT
58,DE
59,ES
60,FR
61,ES
62,DE
63,DE
64,PT
65,PT
66,FR
67,FR
68,FR
69,DE
70,DE
71,PT
72,PT
73,FR
74,DE
75,PT
76,PT
77,FR
78,DE
79,FR
80,DE
81,FR
82,PT
83,DE
84,FR
85,ES
86,PT
87,DE
88,PT
89,ES
90,FR
91,ES
92,ES
93,DE
94,DE
95,DE
96,PT
97,ES
98,DE
99,DE
100,FR
101,ES
102,DE
103,FR
104,DE
105,FR
106,DE
107,ES
108,ES
109,PT
110,ES
111,ES
112,ES
113,ES
114,PT
115,DE
116,ES
117,FR
118,FR
119,PT
120,ES
121,DE
122,FR
123,FR
124,ES
125,PT
126,DE
127,DE
128,DE
129,DE
130,DE
131,PT
132,DE
133,DE
134,PT
135,ES
136,PT
137,ES
138,DE
139,ES
140,PT
141,FR
142,PT
143,PT
144,PT
145,ES
146,PT
147,FR
148,PT
149,PT
150,ES
151,DE
152,ES
153,FR
154,FR
155,FR
156,DE
157,PT
158,PT
159,DE
160,DE
161,DE
162,DE
163,FR
164,PT
165,ES
166,PT
167,FR
168,FR
169,DE
170,ES
171,PT
172,ES
173,FR
174,ES
175,PT
176,FR
177,PT
178,FR
179,FR
180,ES
181,FR
182,ES
183,FR
184,ES
185,ES
186,ES
187,DE
188,ES
189,ES
190,DE
191,FR
192,PT
193,PT
194,FR
195,DE
196,FR
197,ES
198,FR
199,DE
200,FR
201,FR
202,PT
203,ES
204,PT
205,ES
206,DE
207,ES
208,FR
209,ES
210,DE
211,PT
212,DE
213,FR
214,PT
215,PT
216,DE
217,ES
218,DE
219,ES
220,DE
221,FR
222,PT
223,DE
224,DE
225,DE
226,PT
227,ES
228,ES
229,ES
230,PT
231,ES
232,DE
233,ES
234,DE
235,FR
236,ES
237,ES
238,PT
239,PT
240,PT
241,ES
242,DE
243,ES
244,ES
245,PT
246,FR
247,ES
248,FR
249,ES
250,FR
251,FR
252,DE
253,ES
254,PT
255,FR
256,DE
257,DE
258,ES
259,ES
260,PT
261,DE
262,ES
263,PT
264,ES
265,ES
266,ES
267,DE
268,PT
269,PT
270,FR
271,DE
272,PT
273,PT
274,ES
275,ES
276,FR
277,PT
278,PT
279,DE
280,PT
281,PT
282,DE
283,FR
284,ES
285,FR
286,DE
287,DE
288,ES
289,FR
290,ES
291,DE
292,ES
293,DE
294,PT
295,DE
296,DE
297,FR
298,PT
299,ES
300,DE
301,PT
302,ES
303,FR
304,PT
305,ES
306,FR
307,ES
308,FR
309,ES
310,DE
311,ES
312,PT
313,DE
314,DE
315,ES
316,ES
317,ES
318,DE
319,DE
320,FR
321,DE
322,ES
323,FR
324,FR
325,PT
326,FR
327,PT
328,FR
329,DE
330,DE
331,PT
332,DE
333,FR
334,FR
335,PT
336,PT
337,ES
338,PT
339,PT
340,FR
341,FR
342,PT
343,ES
344,FR
345,ES
346,DE
347,FR
348,DE
349,ES
350,DE
351,FR
352,PT
353,FR
354,PT
355,ES
356,DE
357,PT
358,FR
359,PT
360,PT
361,FR
362,PT
363,ES
364,PT
365,FR
366,PT
367,DE
368,PT
369,FR
370,DE
371,FR
372,ES
373,PT
374,ES
375,PT
376,ES
377,FR
378,PT
379,ES
380,ES
381,FR
382,FR
383,ES
384,FR
385,DE
386,ES
387,FR
388,FR
389,PT
390,FR
391,PT
392,PT
393,PT
394,ES
395,DE
396,ES
397,DE
398,PT
399,DE
400,DE
